2025-12-31 00:56:00,983 | INFO | Report mailer started
2025-12-31 00:56:00,989 | ERROR | Pipeline failed: ('IM012', '[IM012] [Microsoft][ODBC Driver Manager] DRIVER keyword syntax error (0) (SQLDriverConnect)')
2025-12-31 00:56:43,033 | INFO | Report mailer started
2025-12-31 00:56:45,061 | INFO | Sending Outlook email
2025-12-31 00:56:45,862 | INFO | Email sent successfully
2025-12-31 00:56:45,863 | INFO | Report mailer completed successfully
2025-12-31 01:06:12,316 | INFO | Report mailer started
2025-12-31 01:06:13,065 | INFO | Sending Outlook email
2025-12-31 01:06:13,983 | INFO | Email sent successfully
2025-12-31 01:06:13,984 | INFO | Report mailer completed successfully
2025-12-31 01:07:01,572 | INFO | Report mailer started
2025-12-31 01:07:02,139 | INFO | Sending Outlook email
2025-12-31 01:07:02,825 | INFO | Email sent successfully
2025-12-31 01:07:02,826 | INFO | Report mailer completed successfully
2025-12-31 01:11:30,512 | INFO | Report mailer started
2025-12-31 01:11:31,378 | INFO | Sending Outlook email
2025-12-31 01:11:32,497 | INFO | Email sent successfully
2025-12-31 01:11:32,498 | INFO | Report mailer completed successfully
2025-12-31 01:13:42,102 | INFO | Report mailer started
2025-12-31 01:13:42,967 | INFO | Sending Outlook email
2025-12-31 01:13:43,628 | INFO | Email sent successfully
2025-12-31 01:13:43,629 | INFO | Report mailer completed successfully
2025-12-31 01:15:42,615 | INFO | Report mailer started
2025-12-31 01:15:43,443 | INFO | Sending Outlook email
2025-12-31 01:15:44,203 | INFO | Email sent successfully
2025-12-31 01:15:44,204 | INFO | Report mailer completed successfully
